codice,progetto,istituzione
2022YJ9sWX,Made in Italy and sustainable development: A multidisciplinary project forshowing the determining role of luxury and aesthetics,Università degli studi di BARI ALDO MORO
2022YMLS4T,TEC - Tax Evasion and Corruption: theoretical models and empirical studies. Aquantitative-based approach for the Italian case.,Università degli studi di MACERATA
2022YT5HAL,Digital INNOvation: an assessment of the relationship between DATA and other intangible assets and productivity (INNODATA),Università degli studi di PERUGIA
2022Z9RZHT,The Sustainability of Global Value Chains,Università degli studi di NAPOL Parthenope
2022ZFBMA4,Protecting the Environment: Advances in Circular Economy (PEACE),Università degli studi di ROMA La Sapienza
2022ZKA4PZ,"The Role of Skil-Biased Technological Change in Immiserizing Growth, SpatialPolarization, and Product Quality Upgrading",Università degli studi di CAGLIARI
2022ZNCLYL,Fighting Organized Crime,Università degli Studi di MILANO
2022ZR5FJ8,Fact-checking Politicians,Università degli studi di BOLOGNA
2022c8TFsY,Saving natural resources: an experimental-behavioral approach to intertemporalenvironmental decisions,Università degli Studi di TRENTO
2022cs3z8X,"TRAces of the Twin Transition on skills and Occupations: nature, quality andeffects of digital and green jobs (TRATTO)",Università degli studi di PARMA
2022cs5x8Y,Digital and green transitions in Italian businesses: An assessment of the mainantecedents,Università degli Studi di MILANO-BICOCCA
2022kKHAF3,"The banking sector facing the challenges of climate-change: how new frontiers in machine learning, econometrics and statistics can help in the identification and management ofcredit and operational risk",Università degli studi di TORINO
2022s4EAS9,The Role of the Public and Private Sectors in Pharmaceutical BreakthroughInnovations (3PBI),Università Cattolica delSacro Cuore
2022s5kY5L,"Excessive antibiotic consumption in humans: why, where, and how to curb it?",Università degli studi di VERONA
2022sBTFHJ,Inclusive Sustainable Strategies for food products: local and organic districts as laboratories for testing multi-stakeholder participatory food systems (isUsTlab),Università degli studi di VERONA
2022sHHM2A,"Voting mechanisms, socio-economic contextual factors, and electoral outcomes",Università degli studi di BOLOGNA
2022sMY898,Sovereign and Corporate Debt in the aftermath of a major crisis: Economic andPolitical lmplications,Università degli studi di MILANO-BICOCCA
2022sTRZYZ,Towards Circular Economy: A Business Model Innovation Perspective,Università degli Studi di  MODENA e REGGIO EMILIA
2022sWskKE5,"Organized crime, political connections and firms performance",Università degli studi di CATANIA
2022z879W3,A environmentally extended Rural-Urban model to study the Ecosystems-Economy-Society nexus (RUEESnexus),Università degli studi della BASILICATA
2022z9A424,Strengthening TARgeting and Guidance with Actionable and Timely Evidence (STARGATE) for the implementation of the Italian National Recovery and Resilience Plan,Università degli Studi ROMATRE
2022zPMXHA,Transforming healthcare in the post covid era: sustainability and value oftelemedicine - RELIEVE and SAVE,Università degli studi di PARMA
