codice,progetto,istituzione,finanziamento
202285ZT47,Identity Heritage and Cultural Memory. The elaboration of the past through thetheatre of democratic Spain (1975 to the present),Università degli studi di TORINO,245.14
202288K2BX,202288K2BX -I_PAD Italian Performance Archive in Digital.Mapping and Dissemination of the Iconographic and Audiovisual Heritage of Italian MediaPerformance: Giacomo Verdes Archive.,Università degli studi di MILANO,248083
20228APAFR,ESCAPES: Experimental Sustainable & Collective Architectural Places forEmployes-Carers,Università degli studi di MILANO,219893
20228BA393,TRAFFIC - Tracing American and Foreign Funds in Italian Cinema (1945-1962),Università degli studi di BOLOGNA,237568
20228CJRLK,CLIO. Corpora for Italian Lyric of the Origins,Università per Stranieri di SIENA,231425
20228JHK5L,CHIARA Cultural Heritage Innovation Adopting Risk AssessmentAdvanced procedures for the enhancement of nationwide built heritage (positioned in isolatedand/or peripheral locations),Università degli Studi di BOLOGNA,268685
20228MHXCM,PAVES-eTowards an Archive-Edition of Paveses Work,Università degli studi di CATANIA,267571
20228MRWL2,Cinephemera. Ephemeral materials for the study of Italian cinema between the1930s and 1960s,Università degli studi di UDINE,259948
20228P3LYC,"The art of the stage in Bronze Age Anatolia. Reconstructing Hitite festivals usingtexts, images and comparative cultural anthropological evidence",Università degli studi di NAPOLI L'Orientale,226309
20228TEZ9T,The forms of the museum: pilot project for a digital atlas of talian museums,Università degli studi di Napoli Federico II,271737
20228X5F3E,LALALEXiT. Late Latin Lexicon in Transition,Università Ca' FoscariVENEZIA,240861
20228Z4LX3,CoenoBl(u)M. Art and architecture of the Cassinese Benedictine Congregation (XV-×XVIll centuries): digital and spatial analysis strategies through BiM models.,Università degli studi di PADOVA,243142
20228Z92FK,Obscene Freedom. Libertinism and Radical Enlightenment in ContemporaryFiction and Imagery,Università degli studi di PADOVA,238.99
20228SERKN,Laugh Tracks. Greek Comedy in Ptolemaic Egypt,Università degli studi di GENOVA,241.11336363636363
202297ATKC,spaNice: Spanish cultural models in Early Modern Venice (the development and circulation of Spanish literature and language in 16th-17th century taly),Università degli studi di VERONA,244522
2022987EAH,"BorderArt(E)Scapes. Contemporary Art, Anthropology and Borderscapes: from the late nineteenth century to the 2ooos, reading contemporaneity and experimenting with newresearch practices",Università degli Studi di FIRENZE,221797
20229AWNX2,"Atlas of Antagonist Discography: taly, 1958-1980",Università degli studi di TORINO,250.36
20229B57SX,Circulating Populist Sentiments in 21st Century Film and TV Fiction in Italy,Università degli studi di Urbino Carlo Bo,218.67200000000005
20229E83B3,Resilient Septuagint.,Università degli studi di BOLOGNA,235.01
20229LLFK2,Women in the History Philosophy,Università della  CALABRIA,222019
20229MY34B,TransLATINg Italian Literature,Università degli studi di ROMA La Sapienza,220611
20229RTTBJ,Borrowing a boat to go out on the oceanThe image of China as a cultural power promoted by the PRC Governments strategies and Italianborn Chinese,Università degli studi di TORINO,226134
20229YECPS,Petronius and Apuleius: new critical editions and related studies,Università degli studi di FIRENZE,185943
2022A2LXSP,"IDEA | THE DIGITAL ZUCCARI CORPUS. Texts, Contexts, Sources and Lexicon",Università degli studi di TORINO,252945
2022A5FHFY,French phenomenology today,Università degli studi di SASSARI,312497
2022A773E4,Peripheral Baroque Sculpture 1630-1750: knowledge and engagement.Census and Digital Atlas of the Lazio provinces and the border areas,Università degli studi di FIRENZE,238.35
2022A97CER,The reception of Vico and the early twentieth century In Italy: a Digital Exhibition,Università degli studi di BOLOGNA,265379
2022A9TNXX,FilmBaseMatters: A Material Approach to the History of Small-_gauge Film in Italy,Università degli studi di UDINE,219871
2022AETLCK,Italy outside Italy Italian intellectual migration and the emergence of a modernEuropean identity,Università di  PISA,223326
2022AHREBP,"ARIANNAAn interoperable platform for aRchaeologlcAl sites: conservatioN, eNvironmental design andwider Accessibility after covid.",Università degli studi di Napoli Federico II,199589
2022ANJWAZ,"Light prefabrication: knowledge, monitoring and requalification of thearchitectural heritage of the second half of the twentieth century in the regions of Calabria andLazio",Università della  CALABRIA,286671
2022ARJYES,"A NEW OPEN ACCESS CRITICAL EDITION OF DANTES COMMEDIA FOSTERINGDIGITAL HUMANITIES PROJECTS. COLLATION OF 580 MSS, PROVISIONAL TEXTS ANDAPPARATUSES, AND LEXICAL UPDATINGS TO THE VOCABOLARIODANTESCO (AcCADEMIA DELLA CRUSCA/ CNR)",Università degli Studi di FERRARA,239726
2022ASYE4K,Actresses and actors writing between Italy and Europe: art and memory,Università degli Studi di MILANO,273555
2022B2EXJP,External vs Internal Objects of Knowledge in the Late Middle Ages: from DirectRealism to Representationalism,Università degli studidel'AQUILA,191006
2022BAYPL5,Venezia Libro Aperto (acronym: VeLA),Università Ca' FoscariVENEZIA,267.19100000000003
2022BBPB8N,"Ancient Science, Ancient Philosophy (the ASAP Project). The PhilosophicalFoundation of Sciences",Università degli studi di TORINO,218421
2022BE7TAT,"FALSVM - Forging Authorship in Literature, Scholarship, and Visual MediaPhase 1: Classical Antiquity",Università degli studi di TRENTO,283768
2022BPCP8N,The Transmission of Old Church Slavonic Texts,Università Ca' FoscariVENEZIA,203647
2022BSMKX8,Romes defensive systems between past and present.The heritage-recognition process of the Aurelian Walls and of the military Forts (19th-21stcenturies),Università degli Studi ROMATRE,292979
2022CA8BW3,MERMAID - MEdieval Romance Miscellanies As Instructional Devices,Università degli studi di MILANO,223317
2022CEJ348,AMATI Vi(H)olinAdvanced Multimodal Analysis based on noninvasive fullield physics Techniques for InnovativeViolins Holistic inspection,Università degli studi di VERONA,235.6
2022CHASRE,Radical Exhibited ThoughtExhibitions of Architecture in Italy in the Contemporary Age,Università degli studi di BOLOGNA,236151
2022CW8EYT,ArDiTeHis (Digital Archive of Spanish Text) and the digital editions of certainSpanish texts from the XVI to the XiX centuries,Università degli studi di CATANIA,200691
2022EAZH78,TRAMED. Edition and Translation of Latin Medical Works of Late Antiquity.,Università degli studi di PERUGIA,189312
2022EHZFWB,"COLERE HEREDITATEM BETWEEN PEACE, CONFLICTS AND GLOBAL CHANGE. A NEW AND OLD CHALLENGE FOR EUROPE",Università degli studi di BOLOGNA,284834
2022EK7P7F,The CLALI project: a corpus for studying the language of autographs of Italianwriters (1450-1550).,Università degli studi di ROMA La Sapienza,200113
2022EZ7WMW,"The British Wave: The Impact of British Views of Human Nature, Morality, andReligion on 18th-Century German Philosophy",Università degli studi di MILANO,268304
2022F38ZB3,DIgital twin and Modern HEritage modelliNg towards Sustainable InfOrmedmaNagement - DIMHENSION,Università degli studi di ROMA La Sapienza,275.69
2022FENML2,"Theories, Philosophies and Politics of Bodies in Network-Connected DigitalUniverses",Università degli studi di BARI ALDO MORO,301669
2022FJ22CF,Medieval Churches: Building Site Practices in a Comparative Perspective,Università degli studi di PADOVA,238826
2022FK9THF,"PolEmA - Polycentric Empires in Western AsiaConnectivity, texts and settlements from Ctesiphon to Afrasiyab and beyond.",Università degli Studi di ROMA La Sapienza,227249
2022FL299Z,Universal Latin Chronicles in Medieval taly (1183-1340): Evolutions and Networksbetween Traditional Models and (Pre-)Humanistic Experiments,Università degli studi di MILANO,252587
2022FL4775,Philosophical Reviews in German Territories (1668-1799),Università Ca' FoscariVENEZIA,308.71
2022FLT28B,A direction in transition. A study of directing processes in Italy starting from the1990s. Digital cataloging of documentary material and historical and critical analysis.,Università degli studi di NAPOLI L'Orientale,209554
2022FNR3ZJ,Digital Bandello: Scholarly Edition and Commentaries.,Università degli studi di MODENA e REGGIO EMILIA,218676
2022FJX9YZ,"Chinese narratives and the narration of China in Iltaly: literature, cinema and art at the intersection of cultural diplomacy and cultural industry",Università Ca' FoscariVENEZIA,246601
2022H3X748,"Understanding Natural History: Nature, Evolution and Human Beings. A NewPhilosophical Framework",Università degli studi di PADOVA,229566
2022H82FCX,Greece in Italy: Cultural Intersections from the 1821 Greek Revolution to theEconomic Crisis of the 2010s,Università degli studi di ROMA La Sapienza,228192
2022H88MAC,"Lterature and Sciences in the Nuova tali (1848-1915): Psychology,Anthropology, Medicine.",Università degli studi di GENOVA,185886
2022H8SZ92,Between Text and Performance: Race and Gender in Anglophone Literatures andCultures (1970s-today),Università degli Studi ROMATRE,178889
2022HE32C5,DAEL - Digital Archive of Eighteenth-century Letters,Università degli studi di PADOVA,223918
2022HE8ZHS,"Detached frescoes, conservation and museum setings. Historical research, non- invasive diagnostic and Digital Heritage for a new inclusive Museology.",Università degli Studi di VERONA,260621
2022HHBXF8,"DIS-AR-MER*-Drawings of Architecture ) in Southern Italy (15th -18th century)*The acronym, derived from the Italian title (DIsegni di ARchitettura nel MERidione), prefiguresthe intent to defuse (disarm) the commonplace of cultural delay in Ssouthern Italy and of thesimple local acceptance of models which had been elaborated elsewhere",Università degli Studi di PALERMO,252957
2022HJW23K,RETI REndering Texts and Images. Digital Scholarly Editions with EditionVisualization Technology,Università di  PISA,228408
2022HNTCXS,"Aeschylean Tragedy: Text, hypotexts, performance",Università di  PISA,194703
2022HT3XYP,"Chivalric Spaces. A digital landscape of texts, stories and narrative motifs ofprinted popular chivalric literature in Italy and Spain",Università degli studi di ROMA La Sapienza,199805
2022HTJ7MN,FILMUSP – Music Publishing and Film: Toward a Production History of theSoundtrack in Italy (1958-1976),Università degli Studi di MILANO,230488
2022HYE33P,Cultural Communities and Seventeenth-Century Books of Verse: The ItalianContext,Università degli studi di BERGAMO,234566
2022HYSFNR,The Crossmodal Congruence Toolkit: a Behavioural Neuroscience Framework forSpatial Design,Università degli Studi di PARMA,274209
2022HZPCL9,DAISI. Anastilosi digitale e interpretazione interativa degli spazi: nuovemetodologie per la storia delarte.Tre laboratori esemplari sulle chiese mendicanti italiane tardo-medievali (secc. Xll-XV).DAISI.Digital Anastylosis and Interactive Spatial Interpretation: new methods for Art History.Exemplary case studies of Italian late medieval mendicant architecture (Xl-XV centuries).,Università degli Studi di FIRENZE,200751
2022J4ER9X,A Pilot Project in the Digitisation of Epigraphic Manuscripts (ProDEM): Senator Filipo Buonarrots Papers and Antiquarian Culture under the Last Medicis,Università degli studi di FIRENZE,178198
2022J52TZY,The Mediterranean through Chinese Eyes: An Analysis Based on Geographical andTravel Sources from the Song to Qing Dynasties (960-1911),Università degli studi di PALERMO,246687
2022JCYBXM,"INFORTREAT. Reconstructing the Early Modern bastioned front. INformationmodels for the fruition of constructive knowledge in FORtified architecture TREATises (16th-18thCentury): a new integrated analysis tool for the interpretation, restoration and maintenance ofEarly Modern fortified heritage.",Università di  PISA,306179
2022JELMNK,1920-2020: Phantasmagories of war in contemporary literary experiences,Università degli studi di PALERMO,311579
2022JF8PL,The return to painting and the persistence of the image.The New Italian Way,Università degli studi di FERRARA,241.11336363636363
2022JM4H92,Plurilingualism in Hitite Anatolia: the case of the Hurrian and Hattic traditionbetween reception and translation.,Università degli studi di PAVIA,174957
2022JMBC38,"VeLoCi- The Vesuvian Lost Cities before the “Discovery. Sources, Experience, Imagery in Early Modern Period",Università degli studi della Campania Luigi Vanvitelli,251.64
2022JMJLC2,Italian Cinema in light of new sources from the Vatican Archives on the Pontificateof Pius XIl (1939-1958): Strategies of Communication between silence and Public Rhetoric fromthe World War to the Cold War,Università degli Studi di MILANO,264.16
2022JPNKZ4,SPLASCH | Smart PLatform and Applications for Southern Cultural Heritage,Università degli Studi di Napoli Federico II,270321
2022JR8Z8P,Social Transformations and the Crisis of Expertise,Università degli studi di TORINO,240.76
2022JRXA9L,Hidden in plain sight: gold and silver altarpieces in medieval Venetia,Università Commerciale Luigi Bocconi' MILANO,200.75
2022JYMWMS,"MIsERABILIA: Spaces and Specters of Misery. Epicenter of Studies, Research,Theories and Projects for the Development of an Image and a Reality for the ContemporaryItalian City",Università IUAV di  VENEZIA,248484
2022K4CP7C,Deconstructing Lombard Identity. For a new Vision of Romanesque Sculpture in the North Italian Context,Università degli studi di PAVIA,271736
2022KHWYLM,"Sport Politics: Football, Media, and National Identity in Italy (1968-2006)",Università degli Sstudi di ROMA La Sapienza,235481
2022KPWZFL,"Cinema and the LGBTQ+ movements, from the first traces to institutionalization(1945-1989)",Università degli Studi di MILANO,218358
2022KSNJ4,Petrarch online: New Perspectives,Università Cattolica delSacro Cuore,241.11336363636363
2022KWLTWA,Digital Leopardian Letters (EDiLe),Università degli studi di MACERATA,219469
2022KZFEKX,Dante in the contemporaneity. Theatrical rewritings,Università degli studi di TORINO,221895
2022L547TR,"Epic writing and Tassos Library. Cultural spaces, critical perspectives and digitalenvironments.",Università degli studi di PADOVA,237212
2022LB2FNL,An idle question? Rethinking and commenting on early nineteenth-centuryLiterature,Università degli studi di ROMA La Sapienza,234142
2022LB5YW4,"Bodies, ecology and moving identities: towards a partnership paradigm(Acronim: BEAM)",Università degli studi di UDINE,315155
2022LB835Y,"MOV..E. - Moving Images Exhibitions. Film museums, audiovisual heritage:historical perspectives, strategies of enhancement and contemporary ecosystems",Università degli studi di CATANIA,257827
2022LF72JW,"VENUSIA JUDAICA: ADVANCED TOOLS FOR EPIGRAPHICAL, ARCHAEOLOGICAL,GEOMINERALOGICAL INVESTIGATION, SUSTAINABLE FRUITION AND PRESERVATION OF THEJEWISH CATACOMBS OF VENOSA",Università degli studi di NAPOLL'Orientale,262379
2022LFR494,The technological mediation of the Human. Faces and gestures in the forms ofdigital self-representation.,Università degli studi di PAVIA,232823
2022LHSKKR,"Transmission of performing knowledge in Italian theatre culture. History, theoryand practices",Università degli studi di ROMA La Sapienza,247268
2022M3FK9C,"Reviving The Liberal: Literature and Poliics between Britain and Italy, 1821-23",Università degli studi di PARMA,212667
2022M92E5J,"Monsters, Sorcerers, and Witches of Northwestern Europe: The Medieval and Early Modern Construction of Otherness in Literature for Popular Audiences",Università degli studi di SIENA,186442
2022MAAYRT,Populist landmarks between theory and history. Hegemony and regimes oftruth as keys to determining the epistemic relevance of populisms,Università degli studi di Urbino Carlo Bo,237815
2022MKPF9Y,The Paradigm Shift in the Modern Understanding of Freedom,Università degli studi di FERRARA,260.45
2022ML3N9,"Transmediality: media, science, genres, arts in Panhispanic poetry (1980-2022)",Università degli Studi di PADOVA,241.11336363636363
2022MMPYF4,Reception and Transmission of Greek Texts from Byzantium to the Renaissance:Towards a Repertorium of the Greek Scribes in the Italian Libraries (RCG-Italia),Università degli studi di MILANO,257269
2022MPSE2P,"Literary California 1884-2022: Spaces of Exception, Spaces of Disaster",Università Ca' FoscariVENEZIA,214279
2022MRWN2K,Movement Experience Through Rhythmic Organization in AudiovisualRepresentational Texts (METRO_ART),Università Cattolica delSacro Cuore,241434
2022MS47SC,"LiMINA - Lost in Manuscripts. Ideas, Notes, Acknowledgments",Università degli studi della Campania Luigi Vanvitelli,247826
2022MYMSLK,Female voices in a public context: authorial articulation and mimeticrepresentation in ancient Greek literature,Università degli Studi di Napoli Federico II,247413
2022N2WTM4,The neo-Kantian reception of Schiller between Platonism and Kantianism(neokasch),Università degli studi di Napoli Federico II,218514
2022NE2LWP,"ParaText – Refining methods, tuning tools, enhancing book heritage for the studyof the relationship between text and exegesis in manuscripts of ancient Greek poetry.",Università degli studi di PAVIA,242708
2022NSAXYP,RE3WORK - REsilient REtrofitting and REuse of Water heritage and builtenvironments: multi-objective Optimization for RisK mitigation and cultural enhancement,Università degli studi di ROMA La Sapienza,271548
2022NW5BCC,Ancient and modern tools for the transmission of linguistic knowledge: thetradition of Latin grammar,Università degli studi di VERONA,331477
2022NZRBRH,The Wheel of Time: An Inquiry into New Sources of Late Indian Buddhism (X-Il ent.),Università degli studi di NAPOLI L'Orientale,199305
2022NSS7AK,Classica Serica. The language and literary characteristics of East Asian Latin and the impact of classical texts on Latin Texts of Eastern Asia between Medieval and Early ModernAge,Università degli studi di TORINO,251.69
2022P5FA2H,Ariostos library. For a new commentary on 1532 Orlando furioso,Università degli studi di FERRARA,243.76
2022P749MT,"Performing arts, economics, and cultural policies. New interpretative paradigmsbetween aesthetics and social sciences",Università degli studi di BOLOGNA,289415
2022PCN7BY,"Scholars at War Digital Library: an Innovative Environment for AdvancedDocument Management.Philology, Politics, Society, from the Franco-Prussian War (1870) to the fall of the Berlin Wall(1989) and Beyond",Università degli studi di CATANIA,227068
2022PEA4ZK,"Reframing Italian Film Festivals: Histories, Politics, Cultures (RIFF)",Università degli studi di BARI ALDO MORO,239334
2022PEL788,"The Galleria Borghese and its Public(s), 1888-1938",Scuola Normale Superioredi PISA,200293
2022PPRLJW,Roman Orientalism: Mapping Cultural Interactions through Latin Literature (Ist c.BCE - IInd cC. CE),Università degli studi di Napoli Federico II,243144
2022PRHZJY,SICINState of Information and Communication between Italy and Northern Europe,Università di  PISA,312.63
2022PXTYCL,M.A.R.E: Manuscripts and books from Asia Reaching Europe. A semanticallyenhanced digital library mapping Asian books circulation along the silk Maritime Routes.,Università di  PISA,283285
2022PYXKPT,WInGS. Women Intellectuals in Greek Society,Università degli studi di MILANO,199535
2022PZYKER,From Unconventional* Households to Unconventional Affordable Housing,Università degli studi di TRIESTE,245909
2022PCRLJ9,"Vitruvius De Architectura in the Classical and in the Early Modern Age. Philology,Archaeology, Digital Library, and 3D Modelling",Università degli studi di BOLOGNA,257145
2022R2WHF,Survey and digitization of spectacle sources. Identity patterns and socio-culturalexchanges in the migration of Italian artists to the United States (1850-1930),Università degli studi di BERGAMO,241.11336363636363
2022R2ZJS2,NEREIDE - NEw Reading Experiences In the Digital Ecosystem,Università degli studi ROMATRE,199947
2022R43S2A,WOmen Writing around the camera (WoW),Università degli studi di SASSARI,226658
2022R4PYH3,"Marco Polo - from Venice to World Literatures (MarVeLs). Textual, inguistic, andsocio-cultural factors in the spreading of Devisement dou monde through space and time(13th-16th centuries).",Università Ca' FoscariVENEZIA,187041
2022R7NKFZ,Womens Writings and national identity,Università degli Studi di FOGGIA,261283
2022RBB99R,Letters for the arts: Farnese art patronage through correspondence (1534-1589).,Università degli studi della TUSCIA,260983
2022RFC5ZR,The Dante Ancient Commentaries Corpus (CoDA). Digital Tools for Lexicographyand Exegesis of the Commedia.,Università degli studi di Napoli Federico II,244273
2022RHCY5P,Knowledge of Things: Reassessing the Indigenous American Heritage in Italy(KNOT),Università degli studi di ROMA La Sapienza,250627
2022RMYM9L,"Reuse, reworking and repurposing of Medieval Sculpture in the Modern Age:material evidence, historical research and new technologies",Università degli studi di TRENTO,236148
2022SA97FP,"Early Modern Spanish Theater (1570 - 1700): textual transmission, europeancirculation, new digital resources",Università degli Studi ROMATRE,270923
2022SLEC3C,TOMMASEO PAPERS ONLINE,Università degli studi di FIRENZE,217504
2022SW5X3C,INTEGRATION_INTEllectual miGRATION: circulation of philosophical books and ideas around the ancient Mediterranean through the evidence of Graeco-Roman papyri.,Università degli Studi di FIRENZE,215.83
2022T7L8HK,Teaching Literature: a Field of Research,Università degli Studi di SIENA,242.92
2022T9SCN8,"From the Pen to the Type-sort. A Renaissance Mass-media Revolution, 1465-1515",Università Cattolica delSacro Cuore,220832
2022TBN35M,Web-based Textual Corpus of Central-Italian Dialects (CorTIM),Università degli studi G.d'AnnunzioCHIETI-PESCARA,263997
2022THKLFF,GO-IN!diGital platfOrm for INner areas.Interactive virtual platforms for the enhancement of fragile contexts and their cultural heritage.,Università degli Studi di PAVIA,252.41
2022TM7WEJ,Collectives at the table - COLTA,Università degli studi di PALERMO,278101
2022TNP3K8,"Diplomacy, Rhetoric and Pragmatism. A Study on Greek Acts and Privileges issuedby the Byzantine Emperors to the Italian Mercantile Cities (AD 1100-1400)",Università degli studi di BOLOGNA,209984
2022TWKJTR,Theatre Festivals between Local and Global. Rethinking Theatre and Performance in Italy from the 1950s to the 1970s,Università degli studi di ROMA Tor Vergata,227897
2022W2CBXS,MUSE. MUSical Ecosystems of Ancient Northern Italy (X B.C.-VIl C.E.),Università degli studi di PADOVA,250901
2022W33NXT,Kanon: Epicurus Epistemology and Its Roots,Università degli studi di ROMA La Sapienza,234496
2022W8FAHM,"Dicendo discitur. Assessing the educational value of declamation, from early imperial age to current times",Università degli studi di GENOVA,315081
2022W8WYYJ,"Claudio Magris, European Intellectual: Archival Survey, Critical Study andEnhancement of the Collection at the Archivio Bonsanti (Florence)",Università degli studi di FIRENZE,250944
2022WA2Y3Y,Schopenhauers Impact. The Schopenhauer-Schule and nocturnal humanism(Schop-Act),Università del SALENTO,269097
2022WAPW5X,"Renegotiating Europes indentities. Trans-integrations, cross-roads and bordes inEast-Central Europe.",Università degli Studi di TORINO,276.39300000000003
2022WZT75F,INSITE - INTEGRATED SHARED KNOWLEDGE: FROM GEO-PALEONTOLOGICAL HERITAGE TO PRESENT TERRITORIAL CHALLENGES,Università degli studi di Napoli Federico II,226823
2022WSBEE9,Dear Linder.: histories of texts and editions in the ALl-Erich Linder archive,Università degli studi di PADOVA,375114
2022WSXJC5,"The mask between rituality and theatre. Archaeological, iterary, historical,anthropological, and performative investigation of material culture in the classical world throughDigital Humanities tools with a view to a broader, fairer and more inclusive cultural fruition.",Università degli studi di Urbino Carlo Bo,248701
2022WXWWMC,The multisensory and interactional nature of music experience. Mergingaesthetics with bioengineering to investigate the multidimensional structure of musical sound.,Università degli studi di VERONA,229952
2022X5B4EM,MediArsI - Interlacing Medieval Art in Southern Italy from the Normans to theHohenstaufen (11th-13th century),Università degli studi di BARI ALDO MORO,220407
2022XJ8CXS,Display: the presence of futureAn archive/laboratory of the immaterial heritage of architectural exhibitions,Università degli studi di CAMERINO,275267
2022XRFSXR,The French in/of Italy: Code-MixiNG in Medieval Europe (FrIngE Project),Università degli studi di PADOVA,214443
2022XS25NZ,"Towards the History of a Heterodox Tradition in Analytic Philosophy:Transformative, Humanistic, Conversational",Università degli studi di ROMA La Sapienza,228694
2022Y9S3H4,Textual Data and Tools for Coreference Resolution of Latin,Università Cattolica delSacro Cuore,220622
2022YHNX9M,Dissonant Heritage and War. Conservation and Communication of a dificultlegacy- Co.Co. War,Università degli Studi di BOLOGNA,252431
2022YNB8MR,"Entangled chronotopes: language, power, bodyscapes and religion in the first tenbooks of the Saunaka Atharvaveda-Samhita Šs.An overall reassessment (more than one century ater Whitneys magnum opus) of the Ss, in terms of its time-space coordinates within the Vedic cultural landscape,through a newly devised English (and Italian) translation of the verse and prose sections ofbooks I-X,adopted as a hermeneutical device to map language onto real and imaginary objects andinstitutions.",Università degli studi di CAGLIARI,200.75
2022YRSNNS,"WilDebate.Coexistences, Bio-cultural Frictions and Pastoralism in Protected Areas",Università degli studi delMOLISE,198251
2022ZAH9HC,Manuscripta Italica Allographica (MIA). ltalo-Romance Texts Written in non-LatinCharacters from the Middle Ages to Modern Times,Università di  PISA,243713
2022ZAKMJH,"Rome in the Nordic Countries. Images of ancient and modern architecture, 17th-19th century: diffusion, collections and functions in the development of a shared Europeanlanguage of Classicism",Università degli studi di ROMA La Sapienza,200658
2022ZJ3PT9,"A Case of Minor History?Agency and dissent in Italian independent cinema, between art and counter-information,viewing modalities, and experimental film-format practices (1961-1976)",Università degli studi di UDINE,199.32
2022ZJ4N9E,NAPLES DANTE PROJECT,Università degli Studi di Napoli Federico II,227189
2022ZT2NZJ,The Digital Encyclopedia of Boccaccios Decameron,Università degli Studi ROMATRE,200.75
2022C7KF8X,The Golden Age of talian Animation. From Economic Boom to the Years of Lead(1957-1977),Università degli Studi ROMATRE,215043
2022CFA3L8,"Women, theatre, fascism",Università degli studi ROMATRE,282952
2022CP88KY,"LIBMovIT - Libraries on the move: scholars, books, ideas traveling in Italy in the18th century",Università degli Studi di BOLOGNA,220244
2022CWL4H2,PoetRi. Female poetry of the Renaissance.,Università degli studi ROMATRE,193279
2022CYBW9R,"Performing Arts and Digital Humanities: a mapping of the dissemination of the Italian model of spectacle in the 18th century Europe. The migration of professionals, the circulation of spectacle practices and ideas of theatre at the roots of European identity.",Università degli studi di FIRENZE,271259
2022CZWWKP,Musical Metaverse: an inclusive Extended Reality platform for networkedmusical interactions,Università degli studi di TRENTO,253442
2022KKWJ4SH,Mapping the history of subaltern literature in Southern Italy,Università della  CALABRIA,241.11336363636363
2022S3NCNT,"Open Science: Theoretical Presuppositions, Historical Developments andOperative Applications",Università degli Studi di SALERNO,276544
2022S3XZZ5,From Post-Trauma to Ecology: Contemporary Gender Narratives in SIlavic CulturalTexts,Università del SALENTO,276745
2022S5LET5,The textual legacy of the Ostrogoths in taly: The Bible version and other texts(Acronym: LegOst),Università degli studi di PERUGIA,312946
2022SEK27B,Politics of Worship pre- and post-Reformation,Università degli studi di ROMA La Sapienza,200458
2022SSEAZK,Representing Arcadia Before and After the Arcadia (1504-1790),Università degli Studi di PADOVA,241916
2022SYRN27,ArDIRe. Digital archives and dictionary for the early artistic recipe books in theItalian Language (late 14th-16th century),Università degli Studi di TORINO,228534
2022X78ZKL,"Minor Italian poets of the XIVth century. A reconsideration of the historiographicalcanon by means of new editions, commentaries, archival research.",Università degli Studi di TRENTO,221154
2022XLTAJK,"Literature and disability. Autobiographical writings and creative texts, betweenliterary critics, educational challenge and social impact",Università Cattolica delSacro Cuore,236996
2022Z39LJH,"Margaret of Austria, a Princess Emboldened by Arts at Courts Europe (PEACE)",Università degli Studi di TERAMO,261071
2022Z77ZP2,Declinations of risk: for an archaeology of aesthetic and literary imaginaries from the twentieth century to the present day in French-language literature,Università degli studi di TORINO,233009
2022ZEATEY,MICHAEL - Multimedial Italian CHant ArchivE of Liturgical melodies and texts(14th-18th centuries),Università degli studi di TRENTO,229.07
2022ZTES8N,"Getting ready for the present: new global dystopian imaginaries and publicengagement. Transcultural and transmedial dialogues between Japanese, Latin American, Britishand Anglo American cultures.",Università degli studi di BOLOGNA,237.86
2022ZS873Y,Letters on the net: Eugenio Montales correspondence (1915-1981). Study anddatabase,Università degli studi di SIENA,245784
202224R7K3,RuRES - Rural Resilience. Decentralised Landscapes and Ecological Strategies ofNon-elite Groups in Cisalpine Gaul,Università degli studi di MILANO,271.4
20222JZE7R,Cursing God. Blasphemy and its repression in Early Modern taly (late fifteenth -early nineteenth century),Università degli studi di BARI ALDO MORO,187272
20222WZLNW,"The Italian Parliament in action. Players, issues and praxis(1968-1994)",Università degli studi di SASSARI,240099
20222XZE8B,Writing communities. Council records in the late medieval AIlps,Università degli studi di TORINO,271136
20222SY2K7,"Mapping and Translating Spaces, Cultures and Languages. Experiences from the Missions connected to the Portuguese Empire (1540-1700)",Università degli Studi di ROMA La Sapienza,366683
2022392NLZ,Illusion and allusion. Rediscovering colours in roman and early medievalarchitecture,Università Cattolica delSacro Cuore,220.63
20223KRB3M,"CATO-POPULISMOS - Nationalisms and Populisms in the Pius XIls Age: CulturalCirculations, Religious Perceptions and Devotionals Practices across Europe and Latin America(1939-1958)",Università degli studi di  MODENA e REGGIO EMILIA,253174
20223LYF7W,Trademarking Made in Italy. Trademarks and industrialization in Italy (1860s-1960s),Università degli studi di BRESCIA,377345
20223N9FRS,EDUCATING TO DEMOCRACY.Historical investigations on the crisis of political representation and on the evolution of themodes of participation in Early Modern and Modern societies. Acronym: EADEM,Università degli studi di Napoli Federico II,351708
20223W24AB,ARCHIM3DES - ARchaeological and Cultural Heritage documentation In Marineenvironment using advanced 3D mEtric Survey techniques,Università del SALENTO,242695
20223JYC3T,Rome and the Others (300-1300). Foreigners in the city between conflicts andintegration,Università degli studi di ROMA Tor Vergata,232.75000000000003
202248BTEL,On the Edge.Archaeology and History of marginal landscapes of contemporary Apulia,Università degli studi di BARI ALDO MORO,347059
20224W3J43,URCHIN - Unravelling changes in islands connectivity through integrated studies: the long-term perspective from Malta and the Tas-silg sanctuary,Università degli studi di ROMA La Sapienza,281922
20224X9ATP,"Resilience of Ancient Coastal Communities. Multidisciplinary investigations intothe human setlement of the lranian coast of the Persian Gulf between the 6th century BC and the 1oth century AD, the climatic and environmental changes in the area and the reciprocal influences on the relationship between man and the environment.",Università degli studi di BOLOGNA,295519
